Wikidata_ID,Bangla_Wikipedia_Title,Wikipedia_URL,Category_Discovered_In,Depth
Q497536,জাতীয় সংসদ ভবন,https://bn.wikipedia.org/wiki/জাতীয়_সংসদ_ভবন,বিষয়শ্রেণী:বাংলাদেশের ভবন ও স্থাপনা,1
Q7243279,প্রধানমন্ত্রীর কার্যালয় (বাংলাদেশ),https://bn.wikipedia.org/wiki/প্রধানমন্ত্রীর_কার্যালয়_(বাংলাদেশ),বিষয়শ্রেণী:বাংলাদেশের ভবন ও স্থাপনা,1
Q4855010,বঙ্গভবন,https://bn.wikipedia.org/wiki/বঙ্গভবন,বিষয়শ্রেণী:বাংলাদেশের ভবন ও স্থাপনা,1
Q104852922,বাংলার মন্দির স্থাপত্য,https://bn.wikipedia.org/wiki/বাংলার_মন্দির_স্থাপত্য,বিষয়শ্রেণী:বাংলাদেশের ভবন ও স্থাপনা,1
Q14854701,বোরাক টাওয়ার,https://bn.wikipedia.org/wiki/বোরাক_টাওয়ার,বিষয়শ্রেণী:বাংলাদেশের ভবন ও স্থাপনা,1
Q25587535,মুঘল তাহখানা,https://bn.wikipedia.org/wiki/মুঘল_তাহখানা,বিষয়শ্রেণী:বাংলাদেশের ভবন ও স্থাপনা,1
Q7275730,রাজউক ভবন,https://bn.wikipedia.org/wiki/রাজউক_ভবন,বিষয়শ্রেণী:বাংলাদেশের ভবন ও স্থাপনা,1
Q85846386,"লিগ্যাসি টাওয়ার (পূর্বাচল, ঢাকা)","https://bn.wikipedia.org/wiki/লিগ্যাসি_টাওয়ার_(পূর্বাচল,_ঢাকা)",বিষয়শ্রেণী:বাংলাদেশের ভবন ও স্থাপনা,1
Q17143032,সারদাহ ছোট কুঠি,https://bn.wikipedia.org/wiki/সারদাহ_ছোট_কুঠি,বিষয়শ্রেণী:বাংলাদেশের ভবন ও স্থাপনা,1
Q17068365,সিলেটের সুউচ্চ ভবনের তালিকা,https://bn.wikipedia.org/wiki/সিলেটের_সুউচ্চ_ভবনের_তালিকা,বিষয়শ্রেণী:বাংলাদেশের ভবন ও স্থাপনা,1
Q110573443,সুরসপ্তক আন্ডারপাস,https://bn.wikipedia.org/wiki/সুরসপ্তক_আন্ডারপাস,বিষয়শ্রেণী:বাংলাদেশের ভবন ও স্থাপনা,1
Q124062007,শামসুল আরেফীন,https://bn.wikipedia.org/wiki/শামসুল_আরেফীন,বিষয়শ্রেণী:বাংলাদেশী ব্যক্তি,1
Q119142175,এহসানুল হক বাবু,https://bn.wikipedia.org/wiki/এহসানুল_হক_বাবু,বিষয়শ্রেণী:বাংলাদেশী ব্যক্তি,1
Q62717754,জিন্নাত আলী,https://bn.wikipedia.org/wiki/জিন্নাত_আলী,বিষয়শ্রেণী:বাংলাদেশী ব্যক্তি,1
Q64343742,জ্যোতিরিন্দ্র মৈত্র,https://bn.wikipedia.org/wiki/জ্যোতিরিন্দ্র_মৈত্র,বিষয়শ্রেণী:বাংলাদেশী ব্যক্তি,1
Q4855428,বাংলাদেশী,https://bn.wikipedia.org/wiki/বাংলাদেশী,বিষয়শ্রেণী:বাংলাদেশী ব্যক্তি,1
Q402913,বাঙালি জাতি,https://bn.wikipedia.org/wiki/বাঙালি_জাতি,বিষয়শ্রেণী:বাংলাদেশী ব্যক্তি,1
Q119933052,মো. আবদুল মজিদ,https://bn.wikipedia.org/wiki/মো._আবদুল_মজিদ,বিষয়শ্রেণী:বাংলাদেশী ব্যক্তি,1
Q133863789,মোহাম্মদ সরোয়ার হোসেন,https://bn.wikipedia.org/wiki/মোহাম্মদ_সরোয়ার_হোসেন,বিষয়শ্রেণী:বাংলাদেশী ব্যক্তি,1
Q123552334,করভি রাখসান্দ,https://bn.wikipedia.org/wiki/করভি_রাখসান্দ,বিষয়শ্রেণী:বাংলাদেশী ব্যক্তি,1
Q839809,বাংলাদেশের ইতিহাস,https://bn.wikipedia.org/wiki/বাংলাদেশের_ইতিহাস,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q7096789,অপারেশন বরিশাল,https://bn.wikipedia.org/wiki/অপারেশন_বরিশাল,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q39089731,অসহযোগ আন্দোলন (১৯৭১),https://bn.wikipedia.org/wiki/অসহযোগ_আন্দোলন_(১৯৭১),বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q139084336,আওয়ামী মুসলিম লীগ,https://bn.wikipedia.org/wiki/আওয়ামী_মুসলিম_লীগ,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q3348100,আগরতলা ষড়যন্ত্র মামলা,https://bn.wikipedia.org/wiki/আগরতলা_ষড়যন্ত্র_মামলা,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q4708838,আলাউদ্দীন আলী শাহ,https://bn.wikipedia.org/wiki/আলাউদ্দীন_আলী_শাহ,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q4808373,আসাম বেঙ্গল রেলওয়ে,https://bn.wikipedia.org/wiki/আসাম_বেঙ্গল_রেলওয়ে,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q549915,ঈসা খান,https://bn.wikipedia.org/wiki/ঈসা_খান,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q3351305,উর্দু আন্দোলন,https://bn.wikipedia.org/wiki/উর্দু_আন্দোলন,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q3349896,ঊনসত্তরের গণঅভ্যুত্থান,https://bn.wikipedia.org/wiki/ঊনসত্তরের_গণঅভ্যুত্থান,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q16345106,একুশ দফা কর্মসূচি,https://bn.wikipedia.org/wiki/একুশ_দফা_কর্মসূচি,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q61365594,কল-রেডী,https://bn.wikipedia.org/wiki/কল-রেডী,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q13057435,কাগমারী সম্মেলন,https://bn.wikipedia.org/wiki/কাগমারী_সম্মেলন,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q108405704,কামরুদ্দৌলা,https://bn.wikipedia.org/wiki/কামরুদ্দৌলা,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q135709625,কামান্না ২৭ শহীদের মাজার,https://bn.wikipedia.org/wiki/কামান্না_২৭_শহীদের_মাজার,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q4871506,কুষ্টিয়ার যুদ্ধ,https://bn.wikipedia.org/wiki/কুষ্টিয়ার_যুদ্ধ,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q64348011,কেদার রায়,https://bn.wikipedia.org/wiki/কেদার_রায়,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q66828934,খবিরুদ্দিন আহমেদ,https://bn.wikipedia.org/wiki/খবিরুদ্দিন_আহমেদ,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q66686262,খাজা উসমান,https://bn.wikipedia.org/wiki/খাজা_উসমান,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q6400060,খান জাহান আলী,https://bn.wikipedia.org/wiki/খান_জাহান_আলী,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q7487762,শমসের গাজী,https://bn.wikipedia.org/wiki/শমসের_গাজী,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q114894727,গাজীউদ্দীন হায়দার,https://bn.wikipedia.org/wiki/গাজীউদ্দীন_হায়দার,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q43898343,চন্দ্রবর্মণ,https://bn.wikipedia.org/wiki/চন্দ্রবর্মণ,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q3350205,ছয় দফা কর্মসূচি,https://bn.wikipedia.org/wiki/ছয়_দফা_কর্মসূচি,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q118115003,জনপ্রিয় সংস্কৃতিতে শেখ মুজিবুর রহমান,https://bn.wikipedia.org/wiki/জনপ্রিয়_সংস্কৃতিতে_শেখ_মুজিবুর_রহমান,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q3087748,জাতিসংঘ নিরাপত্তা পরিষদের প্রস্তাব ৩৫১,https://bn.wikipedia.org/wiki/জাতিসংঘ_নিরাপত্তা_পরিষদের_প্রস্তাব_৩৫১,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q6164619,জাতীয় সমাজতান্ত্রিক দল (জাসদ),https://bn.wikipedia.org/wiki/জাতীয়_সমাজতান্ত্রিক_দল_(জাসদ),বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q96384250,জাতীয় সমাজতান্ত্রিক দল (সিরাজ),https://bn.wikipedia.org/wiki/জাতীয়_সমাজতান্ত্রিক_দল_(সিরাজ),বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q3346990,জাহাঙ্গীরনগর,https://bn.wikipedia.org/wiki/জাহাঙ্গীরনগর,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q112125199,জিয়াউর রহমানের রাষ্ট্রপতিত্ব,https://bn.wikipedia.org/wiki/জিয়াউর_রহমানের_রাষ্ট্রপতিত্ব,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q135579970,জুলাই ঘোষণাপত্র,https://bn.wikipedia.org/wiki/জুলাই_ঘোষণাপত্র,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q13058001,জৈনুদ্দিন আহমদ,https://bn.wikipedia.org/wiki/জৈনুদ্দিন_আহমদ,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q5245358,ডেড রেকনিং: ১৯৭১ এর বাংলাদেশ যুদ্ধের স্মৃতি,https://bn.wikipedia.org/wiki/ডেড_রেকনিং:_১৯৭১_এর_বাংলাদেশ_যুদ্ধের_স্মৃতি,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q4793257,ঢাকার আর্মেনীয় সম্প্রদায়,https://bn.wikipedia.org/wiki/ঢাকার_আর্মেনীয়_সম্প্রদায়,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q12390446,ঢাকার ইতিহাস,https://bn.wikipedia.org/wiki/ঢাকার_ইতিহাস,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q3304646,তমদ্দুন মজলিস,https://bn.wikipedia.org/wiki/তমদ্দুন_মজলিস,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q3661445,তাজহাট জমিদার বাড়ি,https://bn.wikipedia.org/wiki/তাজহাট_জমিদার_বাড়ি,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q25586686,তান্ডা,https://bn.wikipedia.org/wiki/তান্ডা,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q3346553,তিতুমীর,https://bn.wikipedia.org/wiki/তিতুমীর,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q13058226,দিনাজপুর জাদুঘর,https://bn.wikipedia.org/wiki/দিনাজপুর_জাদুঘর,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q105588400,দিলাল রাজা,https://bn.wikipedia.org/wiki/দিলাল_রাজা,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q16829641,দীঘাপতিয়া রাজবংশ,https://bn.wikipedia.org/wiki/দীঘাপতিয়া_রাজবংশ,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q110510063,দুলাল গাজী,https://bn.wikipedia.org/wiki/দুলাল_গাজী,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q25295631,দ্য লাস্ট রাজা অব ওয়েস্ট পাকিস্তান,https://bn.wikipedia.org/wiki/দ্য_লাস্ট_রাজা_অব_ওয়েস্ট_পাকিস্তান,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
Q4870868,ধলাই সীমান্ত চৌকির যুদ্ধ,https://bn.wikipedia.org/wiki/ধলাই_সীমান্ত_চৌকির_যুদ্ধ,বিষয়শ্রেণী:বাংলাদেশের ইতিহাস,1
